"","x"
"23102007092:(intercept)",83.1806854337109
"23102007093:(intercept)",63.4791276465723
"23102059091:(intercept)",32.4871767773014
"23102059092:(intercept)",29.8487534056947
"231020650:(intercept)",97.6195935648168
"231020800:(intercept)",80.3360882414884
"23103118093:(intercept)",126.394470383894
"231040080:(intercept)",84.1572038766755
"23104086091:(intercept)",33.8717981367505
"23104136091:(intercept)",85.7256237230802
"23104136092:(intercept)",56.0593462839949
"23104136093:(intercept)",-33.2245763606284
"231050140:(intercept)",31.5276008058928
"23105024001:(intercept)",13.4170732756267
"23105026091:(intercept)",57.4153838051609
"23105026092:(intercept)",46.7144074481274
"23105041001:(intercept)",91.0560958055369
"23105056091:(intercept)",101.302172737865
"23105056093:(intercept)",53.6782227657769
"231050670:(intercept)",90.1334790440672
"231050690:(intercept)",-55.1556269177865
"23105093091:(intercept)",60.5700265207789
"23105119094:(intercept)",94.3615168626196
"23105119095:(intercept)",25.766311613656
"23105124091:(intercept)",73.5605867603995
"23105124092:(intercept)",90.6023482367202
"23105124093:(intercept)",19.0305239114902
"23105124094:(intercept)",110.206701784786
"23106007091:(intercept)",42.0559475076825
"23106007092:(intercept)",36.6163412225499
"23106007093:(intercept)",39.4969404820261
"23106007094:(intercept)",30.3860726286231
"23106019091:(intercept)",-120.661615832425
"23106019092:(intercept)",13.3157077815207
"23106019093:(intercept)",51.6791741774449
"23106019094:(intercept)",61.1653438415468
"23106019095:(intercept)",-60.8651047266122
"23106024091:(intercept)",67.7280410896615
"23106034091:(intercept)",88.5517021453354
"23106034092:(intercept)",105.328409657979
"23106039091:(intercept)",58.5250628362084
"23106039092:(intercept)",-15.9635876339463
"23106039093:(intercept)",77.4551541333533
"23106056091:(intercept)",46.1505052652446
"23106056092:(intercept)",44.2701976872738
"23106056093:(intercept)",21.5424073380652
"23102007092:diver",-9.05766067377502
"23102007093:diver",-3.71661010564927
"23102059091:diver",1.62197764121992
"23102059092:diver",-10.2653209094305
"231020650:diver",-13.3890027608713
"231020800:diver",-15.5686099295681
"23103118093:diver",-23.6394680509774
"231040080:diver",-9.02443308621917
"23104086091:diver",-12.3999682554281
"23104136091:diver",-10.9746306699697
"23104136092:diver",-2.02155146422728
"23104136093:diver",-7.44425607924289
"231050140:diver",3.585841165659
"23105024001:diver",8.8944300163257
"23105026091:diver",-12.6962305375299
"23105026092:diver",4.98890584363888
"23105041001:diver",-4.05256020922486
"23105056091:diver",-9.84737434129084
"23105056093:diver",-13.1582397820837
"231050670:diver",-6.93645458094434
"231050690:diver",-17.6696012353111
"23105093091:diver",-10.5759364184625
"23105119094:diver",-13.4624963595796
"23105119095:diver",-10.161458869406
"23105124091:diver",-7.6938028948029
"23105124092:diver",-9.90743475461672
"23105124093:diver",1.30401059234427
"23105124094:diver",-9.31048628027322
"23106007091:diver",3.21764677177564
"23106007092:diver",-4.06129929537189
"23106007093:diver",-3.93474060091798
"23106007094:diver",-1.58360443153555
"23106019091:diver",7.3626188785189
"23106019092:diver",-9.47195439184947
"23106019093:diver",-7.72846704713664
"23106019094:diver",-12.5700002182673
"23106019095:diver",13.9905706228124
"23106024091:diver",-8.57361799618102
"23106034091:diver",-3.43615936052626
"23106034092:diver",-13.1905965112798
"23106039091:diver",-3.55739435571497
"23106039092:diver",0.311030658513675
"23106039093:diver",-12.9739742412593
"23106056091:diver",0.611389743713656
"23106056092:diver",-3.00865031448665
"23106056093:diver",0.566432379351921
"23102007092:GURU.m2",10.1497926392346
"23102007093:GURU.m2",8.49189334278005
"23102059091:GURU.m2",10.6273479724286
"23102059092:GURU.m2",27.2554317196226
"231020650:GURU.m2",22.299943126487
"231020800:GURU.m2",27.9885214500921
"23103118093:GURU.m2",77.3631191253313
"231040080:GURU.m2",22.7047665518178
"23104086091:GURU.m2",30.0623304454202
"23104136091:GURU.m2",22.6093637693008
"23104136092:GURU.m2",13.0067724618826
"23104136093:GURU.m2",77.3661384820148
"231050140:GURU.m2",1.13184525997334
"23105024001:GURU.m2",-57.6203781137532
"23105026091:GURU.m2",7.98395079837409
"23105026092:GURU.m2",-28.1197137393254
"23105041001:GURU.m2",-30.7716376536401
"23105056091:GURU.m2",-2.41161183962329
"23105056093:GURU.m2",28.8930004420889
"231050670:GURU.m2",2.03191299630931
"231050690:GURU.m2",36.1541396083186
"23105093091:GURU.m2",23.8169558282603
"23105119094:GURU.m2",29.263219524631
"23105119095:GURU.m2",30.0973963977223
"23105124091:GURU.m2",15.9668330113669
"23105124092:GURU.m2",9.94783976747545
"23105124093:GURU.m2",-28.8987115136529
"23105124094:GURU.m2",-16.2637695346306
"23106007091:GURU.m2",-43.8918647348634
"23106007092:GURU.m2",-4.66238276109368
"23106007093:GURU.m2",-12.2758665544236
"23106007094:GURU.m2",-30.3871121827708
"23106019091:GURU.m2",-15.5075487896636
"23106019092:GURU.m2",20.4768735995134
"23106019093:GURU.m2",-7.91217998873792
"23106019094:GURU.m2",15.8632335035827
"23106019095:GURU.m2",-67.6644098829899
"23106024091:GURU.m2",-4.28881476574197
"23106034091:GURU.m2",-42.6711235712199
"23106034092:GURU.m2",27.645641881325
"23106039091:GURU.m2",-4.76669903797402
"23106039092:GURU.m2",-3.58519576499423
"23106039093:GURU.m2",22.6277555591977
"23106056091:GURU.m2",-32.0279011548306
"23106056092:GURU.m2",9.39850307788446
"23106056093:GURU.m2",-6.81396222588316
"23102007092:shop.m2",-0.304226283277173
"23102007093:shop.m2",-8.1300405787634
"23102059091:shop.m2",-33.3059868526509
"23102059092:shop.m2",-5.40156173891021
"231020650:shop.m2",-3.99895958147792
"231020800:shop.m2",-4.15370576213781
"23103118093:shop.m2",-27.5102884814898
"231040080:shop.m2",-11.6480264465557
"23104086091:shop.m2",-4.93434657599643
"23104136091:shop.m2",-3.01619055841765
"23104136092:shop.m2",-19.1690317907835
"23104136093:shop.m2",-40.9832060366918
"231050140:shop.m2",-31.8385367436719
"23105024001:shop.m2",-3.16651296807471
"23105026091:shop.m2",0.0859659749086494
"23105026092:shop.m2",-12.7798850567503
"23105041001:shop.m2",-3.88936791990114
"23105056091:shop.m2",-0.0347317460892461
"23105056093:shop.m2",-13.6182872406472
"231050670:shop.m2",-5.67080579176957
"231050690:shop.m2",-19.8633307361733
"23105093091:shop.m2",-7.29007204134705
"23105119094:shop.m2",-4.93735051993152
"23105119095:shop.m2",-4.43817787160306
"23105124091:shop.m2",-9.36031123485366
"23105124092:shop.m2",-4.72630374160387
"23105124093:shop.m2",-2.91712760166763
"23105124094:shop.m2",5.53396379110503
"23106007091:shop.m2",0.617207234850829
