"","x"
"1",0.999998955997473
"2",0.999687490990674
"3",0.999851419845965
"4",0.999854871688866
"5",0.999858670078252
"6",0.999666542339926
"7",0.999667385536341
"8",0.999667707330038
"9",0.99972383344186
"10",0.999842892503598
"11",0.999844899664462
"12",0.999592297737728
"13",0.999635475766327
"14",0.999856183575309
"15",0.999999558723049
"16",0.999999526328263
"17",0.999841801079421
"18",0.999503533493461
"19",0.999864940321088
"20",0.99989444857783
"21",0.999686673220705
"22",0.999832676000994
"23",0.999902357033203
"24",0.999899700672822
"25",0.999897763088471
"26",0.999894550364674
"27",0.999687065664792
"28",0.999599813162253
"29",0.999864056816885
"30",0.999651402291511
"31",0.999651071961309
"32",0.999667763776674
"33",0.999668383804665
"34",0.999876602966306
"35",0.999668700854545
"36",0.999668589057728
"37",0.999933033560591
"38",0.999644771717962
"39",0.99968179073961
"40",1
"41",0.999999716472737
"42",0.999424405607299
"43",0.999676798079977
"44",0.999667787560154
"45",0.999667863532807
"46",0.999986291742932
"47",0.999986863019568
"48",0.999599962427172
"49",0.999864056816885
"50",0.999859373680671
"51",0.999666188456568
"52",0.999900674263786
"53",0.999710504177388
"54",0.999864056816885
"55",0.999864940321088
"56",0.999864056816885
"57",0.999864940321088
"58",0.999864056816885
"59",0.999859373680671
"60",0.999864056816885
"61",0.999999924202863
"62",0.999839046564253
"63",0.999864940321088
"64",0.999864056816885
"65",0.999864056816885
"66",0.999864940321088
"67",0.999864940321088
"68",0.999900368122975
"69",0.999979734218474
"70",0.999538339923771
"71",0.999778418513319
"72",0.999864056816885
"73",0.999864056816885
"74",0.999822100705734
"75",0.999862860874907
"76",0.999842442087528
"77",0.999691417223147
"78",0.999694091728183
"79",0.999858084939194
"80",0.999909705149914
"81",0.999566639457193
"82",0.999668206839336
"83",0.999667586401211
"84",0.999721785254201
"85",0.999205147354022
"86",0.99956076235483
"87",0.999664309264764
"88",0.999858922099465
"89",0.999850120585508
"90",0.99970517576072
"91",0.999543504887416
"92",0.999702756726187
"93",0.999846551819712
"94",0.999864056816885
"95",0.999686453723601
"96",0.999864056816885
"97",0.999864056816885
"98",0.999861408456104
"99",0.999846968986251
"100",0.999651196464446
"101",0.999821223067999
"102",0.999999933702785
"103",0.999811618168145
"104",0.999933943799539
"105",0.999688008138147
"106",0.999864940321088
"107",0.999864056816885
"108",0.999864056816885
"109",0.999651144900992
"110",0.999650837953423
"111",0.999864056816885
"112",0.999864056816885
"113",0.999565142819435
"114",0.999999501968963
"115",0.999666188456568
"116",0.99966855110819
"117",0.999669052291033
"118",0.999615318769922
"119",0.999687065664792
"120",0.999645365550189
"121",0.999684115754625
"122",0.999865810279252
"123",0.999924881543918
"124",0.999898877343644
"125",0.999688198159894
"126",0.999666966813979
"127",0.999647541187382
"128",0.999651402943728
"129",0.99965080952266
"130",0.999791058537661
"131",0.999667720425087
"132",0.999625402466568
"133",0.999667874662063
"134",0.999668193436712
"135",0.999651385334585
"136",0.999651404012452
"137",0.9996512662347
"138",0.999650949641998
"139",0.999650548961871
"140",0.999650208400957
"141",0.999650074414029
"142",0.999650186536147
"143",0.999650515078358
"144",0.999650914744834
"145",0.999685234078783
"146",0.999864056816885
"147",0.999864056816885
"148",0.999858084939194
"149",0.999856438624186
"150",0.999751976737087
"151",0.99974946489672
"152",0.999679779780467
"153",0.999686444455063
"154",0.999940941373409
"155",0.999944091847465
"156",0.999941846631578
"157",0.999864056816885
"158",0.999909705149914
"159",0.99986043377886
"160",0.999689068473266
"161",0.999648575701218
"162",0.999921451466042
"163",0.999850798961509
"164",0.999668928278375
"165",0.999677010818154
"166",0.999669290196104
"167",0.999669290196104
"168",0.999665172760919
"169",0.999864056816885
"170",0.999664348396335
"171",0.999622320744908
"172",0.999688253530051
"173",0.999717715254285
"174",0.999846258973407
"175",0.999864056816885
"176",0.999864178652699
"177",0.999656245123478
"178",0.999661748982366
"179",0.999864940321088
"180",0.999999485010491
"181",0.999947815782323
"182",0.999848827678083
"183",0.999687339415469
"184",0.999838424573358
"185",0.999705578932368
"186",0.99969341165745
"187",0.999692990608915
"188",0.999669747190549
"189",0.999835068790395
"190",0.999690787020192
"191",0.999942861772864
"192",0.999859709415202
"193",0.999858084939194
"194",0.999858613860283
"195",0.99999990130344
"196",0.999677142063487
"197",0.999825759755881
"198",0.999205147354022
"199",0.999896988244602
"200",0.999844981812206
"201",0.999903002272496
"202",0.999858084939194
"203",0.999857916187429
"204",0.999858084939194
"205",0.999857149615204
"206",0.999664915143847
"207",0.999864940321088
"208",0.999864940321088
"209",0.999668961273052
"210",0.99998783805629
"211",0.999622489478611
"212",0.999858898480754
"213",0.999864056816885
"214",0.999755226208608
"215",0.999999999999726
"216",0.999999999999662
"217",0.999578451045971
"218",0.999864056816885
"219",0.999864056816885
"220",0.999916701335842
"221",0.999852614926802
"222",0.99998793169008
"223",0.999859032766262
"224",0.999963405311758
"225",0.99999944750935
"226",0.999594477859428
"227",0.999629165903569
"228",0.999862860874907
"229",0.999850409269361
"230",0.999850409269361
"231",0.999862860874907
"232",0.999864940321088
"233",0.999864940321088
"234",0.999830072210523
"235",0.999859273388151
"236",0.999917510955724
"237",0.999578937514195
"238",0.999858084939194
"239",0.999860908837676
"240",0.99966776585719
"241",0.999620695402028
"242",0.999652034353968
"243",0.999864066627648
"244",0.999679963290279
"245",0.999669301312489
"246",0.999760516550047
"247",0.999644073960136
"248",0.999858936859039
"249",0.999967545384626
"250",0.99999984970138
"251",0.99956694618256
"252",0.99999222777628
"253",0.999634731738829
"254",0.999978868474078
"255",0.99997844902636
"256",0.999666589171836
"257",0.999978068007082
"258",0.999982382105742
"259",0.999689229512389
"260",0.999484436572126
"261",0.999736088174913
"262",0.999905440745703
"263",0.999938566570787
"264",0.999939594193651
"265",0.999859224565176
"266",0.99985932688035
"267",0.999702702089669
"268",0.999886152012728
"269",0.99965114771149
"270",0.999571985401212
"271",0.999983352241851
"272",0.999805397746523
"273",0.999690609422981
"274",0.99956694618256
"275",0.999668725455885
"276",0.999664906931529
"277",0.999858933224806
"278",0.99982530967361
"279",0.999855565711516
"280",0.999858385860645
"281",0.999860808739297
"282",0.99999967366851
"283",0.999850595291569
"284",0.99866074496193
"285",0.999633487956277
"286",0.999862860874907
"287",0.999859128628898
"288",0.999999356451013
"289",0.999999599534361
"290",0.999836018669404
"291",0.999864056816885
"292",0.999864940321088
"293",0.999858084939194
"294",0.999858084939194
"295",0.999065623692674
"296",0.999631857504246
"297",0.999904982010488
"298",0.999864056816885
"299",0.999864056816885
"300",0.99956722002468
"301",0.999577750388815
"302",0.999539861108029
"303",0.999539847414197
"304",0.999682595055464
"305",0.999985251213536
"306",0.999855857573698
"307",0.999661988047445
"308",0.999687183091401
"309",0.999856183575309
"310",0.999986863019568
"311",0.999852766996954
"312",0.999631358925808
"313",0.999533784160406
"314",0.999686340662524
"315",0.999688454854145
"316",0.999588605015879
"317",0.999666593670306
"318",0.99999929465251
"319",0.99998685653151
"320",0.999667884420984
"321",0.999627796903227
"322",0.999646438967124
"323",0.99964896439347
"324",0.999645404737582
"325",0.999644674146932
"326",0.999678127491074
"327",1
"328",0.999680754248373
"329",0.999867818083291
"330",0.999957255274039
"331",0.999648928919489
"332",1
"333",0.999943101871767
"334",0.999687721605183
"335",0.999928819815078
"336",0.999999999999682
"337",0.99956076235483
"338",0.999844498773132
"339",0.999852736998736
"340",0.999999522515862
"341",0.999909705149914
"342",0.999910633049988
"343",0.999860389860567
"344",0.999999999999704
"345",0.99985898109916
"346",0.99959679836613
"347",0.999858933224806
"348",0.999863267618884
"349",0.999945705455475
"350",0.999686901880154
"351",0.999851616715573
"352",0.999872034589639
"353",0.999070015950581
"354",0.999070015950581
"355",0.999864940321088
"356",0.999722399911931
"357",0.999945419976826
"358",0.999714193541916
"359",0.999645713860983
"360",0.999668199918946
"361",0.999854020318577
"362",0.999858194903325
"363",0.999862860874907
"364",0.99985898109916
"365",0.999901917582405
"366",0.999865035283831
"367",0.999603673490578
"368",0.999864056816885
"369",0.999846980627196
"370",0.999864940321088
"371",0.999842461382482
"372",0.999659393821108
"373",0.999862860874907
"374",0.999998493687753
"375",0.99999955906376
"376",0.999620695402028
"377",0.999850409269361
"378",0.999987147674405
"379",0.999687800640668
"380",0.999688421653164
"381",0.999686664498395
"382",0.999668456445221
"383",0.999840551817613
